"","nmajor","major1","major2","BBRJ","Business Direct Admit","Combined Bacc and Masters","Dean's List","First Generation College Stdnt","FSB Scholars","Honors Program","President's List","Study Abroad Courtesy Account","Transfer Work (Pre-Banner)","Cum Laude","Magna Cum Laude","Summa Cum Laude","University Honors","UniversityHonors w/Distinction","minor1","minor2","IPEDS.Race.Ethnicity","Gender","GPA.Range","Term.Code","year.x","latin_honors","survey_city","survey_company","survey_deptfunc","survey_gradprogram","survey_gradschool","survey_offers","survey_plans","survey_pref_field","survey_pref_loc","survey_salary","survey_state","has_internship","has_multiple_internships"
"1618",1,"Accountancy","none",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","Non-Resident Alien","Male","3.00 - 3.49",202020,"2020","0","None","None","None","MAcc","None",0,"seeking employment","None","None",0,"None",0,0
"1619",1,"Accountancy","none",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"No Minor","No Minor","Non-Resident Alien","Male","3.00 - 3.49",202130,"2021","Cum Laude","None","None","None","Master of Accountancy","University of Melbourne or University of Rochester",0,"continuing education","None","None",0,"None",0,0
"1620",1,"Accountancy","none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","Non-Resident Alien","Male","3.00 - 3.49",202110,"2021","0","None","None","None","None","None",0,"continuing education","None","None",0,"None",0,0
"1621",1,"Finance","none",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"Entrepreneurship","Entrepreneurship","Non-Resident Alien","Female","3.00 - 3.49",202120,"2021","0","None","None","None","None","None",0,"continuing education","None","None",0,"None",0,0
"1622",1,"Accountancy","none",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"No Minor","No Minor","Non-Resident Alien","Female","3.50 - 4.00",202010,"2020","0","None","None","None","None","None",0,"None","None","None",0,"None",0,0
"1623",1,"Business Economics","none",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","Non-Resident Alien","Female","3.00 - 3.49",202120,"2021","0","None","None","None","None","None",0,"seeking employment","None","None",0,"None",0,0
"1624",1,"Marketing","none",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"No Minor","No Minor","Non-Resident Alien","Female","3.00 - 3.49",202020,"2020","0","None","None","None","None","University of Leeds / Manchester University",0,"continuing education","None","None",0,"None",0,0
"1625",1,"Finance","none",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"No Minor","No Minor","Non-Resident Alien","Female","3.50 - 4.00",202120,"2021","Cum Laude","None","None","None","Enterprise risk management","Columbia University",0,"continuing education","None","None",0,"None",1,0
"1626",1,"Finance","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","Non-Resident Alien","Female","2.00 - 2.49",201920,"2019","0","None","None","None","Management","None",0,"seeking continuing education","No","No",0,"None",0,0
"1627",1,"Accountancy","none",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"No Minor","No Minor","Non-Resident Alien","Female","3.50 - 4.00",202020,"2020","Cum Laude","None","None","None","MAcc","None",1,"seeking employment","None","None",0,"None",1,0
"1628",1,"Business Economics","none",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"No Minor","No Minor","Non-Resident Alien","Female","3.50 - 4.00",202020,"2020","Magna Cum Laude","None","None","None","None","University of California, Los Angeles",1,"continuing education","None","None",0,"None",1,1
"1629",1,"Management and Leadership","none",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"No Minor","No Minor","Asian","Male","2.50 - 2.99",201930,"2019","0","None","None","None","None","None",0,"None","None","None",0,"None",0,0
"1630",1,"Business Analytics","none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","Non-Resident Alien","Male","3.00 - 3.49",202020,"2020","0","None","None","None","None","Arizona State University",0,"continuing education","None","None",0,"None",1,1
"1631",1,"Human Capital Mgmt& Leadership","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Female","3.00 - 3.49",202120,"2021","0","Chicago","Beacon Hill Staffing","None","None","None",3,"accepted fulltime job","None","None",40000,"IL",1,1
"1632",1,"Finance","none",0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,"No Minor","No Minor","White","Female","3.00 - 3.49",202120,"2021","0","Chicago","Collaborative Solutions","Analytics","None","None",1,"accepted fulltime job","Yes","Yes",65000,"IL",1,1
"1633",1,"Finance","none",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"Business Analytics","Business Analytics","White","Male","3.00 - 3.49",202020,"2020","0","Cincinnati","Medpace","None","None","None",0,"accepted fulltime job","None","None",52000,"OH",1,0
"1634",1,"Information Systems","none",0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,"Arts Related","Arts Related","White","Male","3.50 - 4.00",201920,"2019","Magna Cum Laude","Cincinnati","Deloitte","Accounting
 Consulting
 Finance
 IT Assurance / IT Audit","None","None",3,"accepted fulltime job","Yes","Yes",53000,"Ohio",1,0
"1635",1,"Marketing","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Interactive Media Studies","No Minor","White","Female","2.50 - 2.99",201920,"2019","0","None","None","None","None","None",0,"None","None","None",0,"None",0,0
"1636",1,"Finance","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",202020,"2020","0","None","None","None","None","None",0,"None","None","None",0,"None",1,1
"1637",1,"Accountancy","none",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Female","3.00 - 3.49",202120,"2021","0","None","BDO","None","None","None",0,"accepted fulltime job","Yes","Yes",53000,"OH",0,0
"1638",1,"Finance","none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Accountancy","No Minor","White","Male","3.00 - 3.49",202120,"2021","0","Cincinnati","Terrilium","None","None","None",1,"accepted fulltime job","Yes","Yes",50000,"OH",0,0
"1639",1,"Marketing","none",0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,"No Minor","No Minor","Multi Racial","Male","3.00 - 3.49",202020,"2020","0","San Francisco","Curology","Consulting General Management Marketing / Sales","None","None",3,"accepted fulltime job","Yes","Yes",75000,"CA",1,1
"1640",1,"Marketing","none",0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,"Language","Language","White","Female","3.50 - 4.00",202120,"2021","Magna Cum Laude","Cleveland","VMLY&R Commerce","None","None","None",2,"accepted fulltime job","None","None",52000,"OH",1,1
"1641",1,"Supply Chain & Operations Mgmt","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","2.50 - 2.99",202020,"2020","0","None","None","None","None","None",0,"seeking employment","None","None",0,"None",1,0
"1642",1,"Marketing","none",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"Supply Chain Management","No Minor","White","Male","3.50 - 4.00",202120,"2021","Cum Laude","Cincinnati","The David J Joseph Company","None","None","None",5,"accepted fulltime job","Yes","Yes",60000,"OH",1,1
